Date,Open,High,Low,Close,Adj Close,Volume
4/29/2019,52.900002,53.639999,52.720001,53.509998,51.684921,8045500
4/30/2019,53.82,54.990002,53.360001,54.330002,52.476955,15760100
5/1/2019,54.52,54.740002,53.360001,53.389999,51.569012,7372100
5/2/2019,53.060001,53.549999,52.939999,53.16,51.346859,5803000
5/3/2019,53.450001,53.91,53.200001,53.759998,51.926392,5138100
5/6/2019,53.110001,54,53.099998,53.529999,51.704239,7234300
5/7/2019,53.27,53.439999,52.5,52.939999,51.134361,6808400
5/8/2019,52.59,52.84,51.950001,51.959999,50.187786,8784600
5/9/2019,51.77,52.27,51.18,51.990002,50.216766,7161400
5/10/2019,51.5,52.23,50.790001,52.110001,50.332672,7825800
5/13/2019,51.740002,51.950001,51.029999,51.439999,49.68552,6150200
5/14/2019,51.279999,52.380001,51.189999,51.889999,50.120174,5527600
5/15/2019,51.75,52.380001,51.48,52.130001,50.351994,4803900
5/16/2019,52.009998,52.759998,51.880001,52.029999,50.255398,6350800
5/17/2019,51.759998,52.52,51.459999,52.349998,50.564484,6129900
5/20/2019,52.150002,53.09,52.060001,52.330002,50.54517,7133900
5/21/2019,52.599998,52.599998,51.830002,51.869999,50.100857,6218900
5/22/2019,51.93,53.02,51.75,52.830002,51.028118,6970600
5/23/2019,52.509998,52.880001,52.169998,52.810001,51.008801,6493700
5/24/2019,52.970001,53.110001,51.599998,52.400002,50.612782,5735000
5/28/2019,52.029999,52.029999,49.75,49.869999,48.169071,18094100
5/29/2019,49.200001,50.450001,48.700001,50.189999,48.478157,10412200
5/30/2019,50.32,50.490002,49.93,50.209999,48.497475,5801700
5/31/2019,49.919998,49.950001,48.939999,49.060001,47.3867,6416500
6/3/2019,49.25,50.150002,49.130001,50.099998,48.391228,6306400
6/4/2019,50.779999,50.810001,50.25,50.419998,48.70031,5846400
6/5/2019,50.59,50.669998,48.970001,49.689999,47.995209,8692100
6/6/2019,49.91,51.169998,49.889999,50.75,49.019054,7267900
6/7/2019,51.189999,51.720001,51.119999,51.380001,49.627571,5161500
6/10/2019,51.5,51.700001,50.98,51.209999,49.463367,4989100
6/11/2019,51.349998,52.459999,51.310001,52.150002,50.371307,6709000
6/12/2019,51.439999,52.040001,51.119999,51.59,49.830406,6698600
6/13/2019,51.139999,51.43,50.68,51.209999,50.24247,4074200
6/14/2019,51.110001,51.48,50.48,50.860001,49.899086,5669300
6/17/2019,50.389999,51.189999,50.380001,50.860001,49.899086,4876200
6/18/2019,51.07,51.25,50.009998,50.119999,49.173065,6253400
6/19/2019,50.110001,50.25,49.599998,49.900002,48.957222,8193500
6/20/2019,50.240002,50.41,49.900002,50.259998,49.310417,9301900
6/21/2019,50.060001,50.34,47.91,48,47.093117,23069000
6/24/2019,48.110001,49.029999,47.91,48.490002,47.573864,10215100
6/25/2019,48.669998,48.939999,48.099998,48.779999,47.858379,7197100
6/26/2019,48.119999,48.360001,47.619999,47.939999,47.034252,10469300
6/27/2019,47.900002,48.279999,47.560001,47.900002,46.99501,5906900
6/28/2019,47.82,48.060001,47.310001,47.349998,46.455399,20573100
7/1/2019,47.73,48.41,47.509998,47.689999,46.788975,7173700
7/2/2019,47.860001,48.619999,47.619999,48.599998,47.681782,6098300
7/3/2019,48.970001,49.349998,48.43,49.189999,48.260635,3909200
7/5/2019,49.07,49.25,48.27,48.779999,47.858379,5291000
7/8/2019,48.93,49.52,48.599998,49.080002,48.152714,6502400
7/9/2019,48.82,48.939999,48.209999,48.349998,47.436504,6056300
7/10/2019,48.220001,49.5,48.189999,49,48.074226,6533000
7/11/2019,49,49.73,48.880001,49.259998,48.329311,5857000
7/12/2019,50.049999,50.169998,49.439999,49.5,48.564777,6103600
7/15/2019,49.799999,49.939999,49.400002,49.540001,48.604023,4616900
7/16/2019,49.310001,49.619999,49.029999,49.41,48.476479,5569400
7/17/2019,49.41,49.619999,49.009998,49.450001,48.515724,5381800
7/18/2019,50.040001,51.119999,49.73,50.529999,49.575317,9852100
7/19/2019,50.860001,50.900002,50.419998,50.529999,49.575317,5262500
7/22/2019,50.52,50.52,49.540001,49.669998,48.731564,4983700
7/23/2019,49.860001,50.299999,49.709999,50.040001,49.094578,6243400
7/24/2019,49.98,50.099998,49.619999,49.779999,48.839489,4280200
7/25/2019,49.77,50.450001,49.459999,49.59,48.65308,4086800
7/26/2019,49.52,50.119999,49.040001,49.860001,48.917976,7352900
7/29/2019,49.950001,50.580002,49.919998,50.310001,49.359478,6271600
7/30/2019,49.599998,49.669998,47.349998,48.5,47.583672,13184600
7/31/2019,48.310001,48.549999,46.720001,47.07,46.180691,12252300
8/1/2019,47.5,48.66,47.400002,47.880001,46.975388,9933800
8/2/2019,48.200001,48.439999,47.75,47.93,47.024441,7072200
8/5/2019,47.540001,47.700001,46.169998,46.650002,45.768627,10326000
8/6/2019,46.91,46.919998,45.93,46.16,45.287884,8779100
8/7/2019,45.91,46.439999,45.25,46.23,45.35656,13216200
8/8/2019,46.220001,46.66,45.900002,46.5,45.62146,10565400
8/9/2019,46.48,46.599998,45.630001,46.16,45.287884,8125000
